instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k11.0.json' mode='r' encoding='cp1252'>,infeasible,303.0138728618622,302.5985328000388,49.587226799922064,498,622,186,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.1.json' mode='r' encoding='cp1252'>,infeasible,302.3543748855591,302.26946749998024,65.39288910065079,684,832,267,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.2.json' mode='r' encoding='cp1252'>,infeasible,302.7265729904175,302.64271570002893,39.7115514006,438,572,151,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.3.json' mode='r' encoding='cp1252'>,infeasible,302.4810914993286,302.3947535000043,35.76165479992051,389,474,151,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.4.json' mode='r' encoding='cp1252'>,infeasible,302.13540267944336,302.0476162999985,46.837023500935175,545,660,214,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.5.json' mode='r' encoding='cp1252'>,infeasible,302.6175956726074,302.52894640003797,46.04051269887714,601,736,232,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.6.json' mode='r' encoding='cp1252'>,infeasible,303.38651943206787,303.32415389997186,41.55779979901854,458,564,175,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.7.json' mode='r' encoding='cp1252'>,infeasible,302.4772617816925,302.43942239996977,33.61231639998732,411,450,185,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.8.json' mode='r' encoding='cp1252'>,infeasible,301.9826693534851,301.9463263999787,37.0301311002695,608,666,274,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.9.json' mode='r' encoding='cp1252'>,infeasible,302.53549337387085,302.51691489998484,57.725390399747994,516,628,201,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.10.json' mode='r' encoding='cp1252'>,infeasible,303.0799026489258,303.05849820002913,35.96314660075586,665,1044,142,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.11.json' mode='r' encoding='cp1252'>,infeasible,305.65285181999207,305.5399466000381,37.967875099449884,406,424,193,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.12.json' mode='r' encoding='cp1252'>,infeasible,302.4603760242462,302.41399180004373,62.67980339884525,412,496,163,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.13.json' mode='r' encoding='cp1252'>,infeasible,303.0126166343689,302.9684537000139,50.23695530014811,381,732,14,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.14.json' mode='r' encoding='cp1252'>,infeasible,301.56590485572815,301.5197467999533,64.843464900041,547,708,192,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.15.json' mode='r' encoding='cp1252'>,infeasible,301.35088658332825,301.30398700002115,65.42609560053097,552,1088,7,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.16.json' mode='r' encoding='cp1252'>,infeasible,302.6338577270508,302.524909699976,35.96947679971345,354,676,15,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.17.json' mode='r' encoding='cp1252'>,infeasible,302.4351270198822,302.3569453000091,53.05936269846279,369,718,9,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.18.json' mode='r' encoding='cp1252'>,infeasible,304.4777936935425,304.4000281000044,49.312146300275344,681,728,316,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.19.json' mode='r' encoding='cp1252'>,infeasible,301.9373404979706,301.80625959997997,38.368834699329454,467,524,204,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.20.json' mode='r' encoding='cp1252'>,infeasible,301.9768817424774,301.90045539999846,38.45547890057787,496,522,234,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.21.json' mode='r' encoding='cp1252'>,infeasible,301.9797763824463,301.88687509996817,71.68214189878199,424,786,30,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.22.json' mode='r' encoding='cp1252'>,infeasible,301.4633402824402,301.38661410001805,36.770156598766334,464,532,197,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.23.json' mode='r' encoding='cp1252'>,infeasible,301.5144536495209,301.43613899999764,31.9318379011238,492,518,232,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.24.json' mode='r' encoding='cp1252'>,infeasible,302.3749153614044,302.28817439998966,51.52279810013715,340,426,126,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.25.json' mode='r' encoding='cp1252'>,infeasible,301.26410961151123,301.17108579998603,52.8358889000956,718,734,350,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.26.json' mode='r' encoding='cp1252'>,infeasible,302.01015281677246,301.9313301999937,45.584913301165216,570,706,216,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.27.json' mode='r' encoding='cp1252'>,infeasible,303.2059586048126,303.1394441999728,39.55305859999498,467,568,182,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.28.json' mode='r' encoding='cp1252'>,infeasible,302.9235644340515,302.8734802000108,64.49288759974297,449,552,172,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.29.json' mode='r' encoding='cp1252'>,infeasible,303.94412875175476,303.8657572999946,52.276732698781416,468,580,177,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.30.json' mode='r' encoding='cp1252'>,infeasible,303.6734039783478,303.5971125999931,42.40340330149047,349,656,20,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.31.json' mode='r' encoding='cp1252'>,infeasible,302.00742197036743,301.8705213999492,62.69713069970021,599,732,232,0,0,0
