instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='generated_instances/instance-k8.34.json' mode='r' encoding='cp1252'>,infeasible,301.61025834083557,301.55560200003674,149.1943499018671,1559,3116,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.35.json' mode='r' encoding='cp1252'>,infeasible,302.46603894233704,302.26173359999666,157.66975200094748,1154,2306,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.36.json' mode='r' encoding='cp1252'>,infeasible,301.7275903224945,301.6854286000016,113.50483119965065,1140,2278,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.37.json' mode='r' encoding='cp1252'>,infeasible,302.89511466026306,302.8452671999694,114.1985696994816,940,1878,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.38.json' mode='r' encoding='cp1252'>,infeasible,301.70759773254395,301.6434897999861,96.72714279923821,1018,2034,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.39.json' mode='r' encoding='cp1252'>,72,301.77301812171936,301.72338290000334,132.28991789836437,1504,3006,0,0,0,147,False,False,True
<_io.TextIOWrapper name='generated_instances/instance-k8.40.json' mode='r' encoding='cp1252'>,infeasible,301.6423969268799,301.58728279999923,97.36056850134628,836,1670,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.41.json' mode='r' encoding='cp1252'>,infeasible,301.63261365890503,301.58828009996796,109.94731459917966,1210,2418,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.42.json' mode='r' encoding='cp1252'>,infeasible,301.46480345726013,301.41152710001916,134.76637939858483,1292,2582,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.43.json' mode='r' encoding='cp1252'>,72,302.39653396606445,302.358643799962,99.54418660147348,1749,3496,0,0,0,156,False,False,True
<_io.TextIOWrapper name='generated_instances/instance-k8.44.json' mode='r' encoding='cp1252'>,infeasible,301.530793428421,301.49265829997603,104.7982557999203,1619,3236,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.45.json' mode='r' encoding='cp1252'>,infeasible,302.0783610343933,302.02692370000295,108.05858680186793,1267,2532,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.46.json' mode='r' encoding='cp1252'>,infeasible,301.6595015525818,301.621351400041,98.95086000236915,905,1808,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.47.json' mode='r' encoding='cp1252'>,infeasible,302.9368009567261,302.6858528999728,104.29891050013248,1181,2360,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.48.json' mode='r' encoding='cp1252'>,infeasible,301.8487584590912,301.80904670001473,107.7917876006104,1750,3498,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.49.json' mode='r' encoding='cp1252'>,infeasible,301.3459234237671,301.30873129999964,137.35249349905644,1132,2262,0,0,0,0,,,
