instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='generated_instances/instance-k7.33.json' mode='r' encoding='cp1252'>,infeasible,602.112363576889,602.098963299999,195.70570490148384,4801,5240,2180,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.34.json' mode='r' encoding='cp1252'>,infeasible,602.5071585178375,602.4938377999933,192.29034799488727,3912,4864,1479,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.35.json' mode='r' encoding='cp1252'>,infeasible,601.7947869300842,601.7813597000204,214.645153792575,3540,4128,1475,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.36.json' mode='r' encoding='cp1252'>,infeasible,601.9345245361328,601.9208715999266,241.62366779521108,3708,4588,1413,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.37.json' mode='r' encoding='cp1252'>,infeasible,603.3037176132202,603.2863538999809,171.17666749982163,3334,4338,1164,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.38.json' mode='r' encoding='cp1252'>,infeasible,601.7805552482605,601.7641384999733,314.70545920496807,2349,4082,307,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.39.json' mode='r' encoding='cp1252'>,infeasible,601.9974184036255,601.9826257999521,204.92849300103262,4685,7174,1097,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.40.json' mode='r' encoding='cp1252'>,infeasible,601.707447052002,601.6941302999621,206.14525790384505,3574,4050,1548,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.41.json' mode='r' encoding='cp1252'>,infeasible,602.5932667255402,602.5803460999159,211.66252629854716,3435,3978,1445,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.42.json' mode='r' encoding='cp1252'>,infeasible,601.6302983760834,601.6170344001148,245.2564505044138,3857,4924,1394,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.43.json' mode='r' encoding='cp1252'>,infeasible,602.0529909133911,602.039276800002,248.1375262029469,3190,3878,1250,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.44.json' mode='r' encoding='cp1252'>,infeasible,601.6231510639191,601.6086582000135,262.796727098641,2119,2624,806,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.45.json' mode='r' encoding='cp1252'>,61,601.9882118701935,601.9748185999924,279.5570951984264,3927,5720,1066,0,0,0,True,False,True
<_io.TextIOWrapper name='generated_instances/instance-k7.46.json' mode='r' encoding='cp1252'>,infeasible,603.4971096515656,603.4816095000133,220.48582080274355,2770,5524,7,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.47.json' mode='r' encoding='cp1252'>,infeasible,602.9034826755524,602.8884193999693,283.0246404954232,2381,4570,95,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.48.json' mode='r' encoding='cp1252'>,infeasible,601.9712543487549,601.9476870999206,245.1897939965129,5978,9104,1425,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.49.json' mode='r' encoding='cp1252'>,infeasible,602.713849067688,602.6996588000329,277.0412074025953,2225,4440,4,0,0,0,,,
