instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k6.35.json' mode='r' encoding='cp1252'>,infeasible,602.3356347084045,602.32269489998,327.71292560116854,2648,5040,127,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.36.json' mode='r' encoding='cp1252'>,infeasible,602.2355690002441,602.2233675000025,338.48272340069525,2017,4010,11,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.37.json' mode='r' encoding='cp1252'>,infeasible,601.8753011226654,601.8617304000072,171.1436430083122,2491,4760,110,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.38.json' mode='r' encoding='cp1252'>,infeasible,602.1395993232727,602.1267267999938,233.2556965984404,1876,3700,25,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.39.json' mode='r' encoding='cp1252'>,infeasible,603.028902053833,603.0163308999036,281.0229290954303,1756,3492,9,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.40.json' mode='r' encoding='cp1252'>,infeasible,601.6518802642822,601.6389931000303,264.090426298324,2172,3924,209,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.41.json' mode='r' encoding='cp1252'>,infeasible,602.5319080352783,602.5192327999976,236.02971370599698,4238,4902,1786,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.42.json' mode='r' encoding='cp1252'>,infeasible,601.8085992336273,601.7958391000284,212.64506050292403,2152,4090,106,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.43.json' mode='r' encoding='cp1252'>,infeasible,601.8251755237579,601.8118849999737,267.93153589963913,2231,4444,8,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.44.json' mode='r' encoding='cp1252'>,infeasible,602.0674965381622,602.055303900037,222.88347420096397,2313,4602,11,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.45.json' mode='r' encoding='cp1252'>,infeasible,603.1380846500397,603.1253652001033,267.5593309990363,1901,3780,10,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.46.json' mode='r' encoding='cp1252'>,infeasible,602.3072221279144,602.2943555999082,113.42095190181863,2509,4996,10,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.47.json' mode='r' encoding='cp1252'>,infeasible,602.6242547035217,602.6113672000356,225.00174570071977,3113,6214,5,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.48.json' mode='r' encoding='cp1252'>,infeasible,602.763950586319,602.7511217000429,215.73987379786558,2109,2866,675,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.49.json' mode='r' encoding='cp1252'>,infeasible,602.971832036972,602.9585503999842,245.41557550267316,2774,5530,8,0,0,0
