instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='../generated_instances/instance-k7.40.json' mode='r' encoding='cp1252'>,infeasible,310.12475180625916,310.03214429999935,6.110628899827134,89,176,0,0,23,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.41.json' mode='r' encoding='cp1252'>,infeasible,308.69501757621765,308.6387913999497,4.521317200385965,93,184,0,0,22,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.42.json' mode='r' encoding='cp1252'>,infeasible,307.2722086906433,307.2237138999626,4.3813187993946485,93,184,0,0,17,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.43.json' mode='r' encoding='cp1252'>,infeasible,310.9180257320404,310.8605092000216,6.358983899932355,89,176,0,0,29,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.44.json' mode='r' encoding='cp1252'>,infeasible,307.8377125263214,307.78843939997023,6.554707600036636,77,152,0,0,21,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.45.json' mode='r' encoding='cp1252'>,61,311.53352546691895,311.49260210001376,11.613965700671542,89,176,0,0,15,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.46.json' mode='r' encoding='cp1252'>,59,307.308878660202,307.21929290000116,6.779714299831539,86,170,0,0,27,10,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.47.json' mode='r' encoding='cp1252'>,infeasible,308.62587213516235,308.5320828999975,7.35134970000945,88,174,0,0,28,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.48.json' mode='r' encoding='cp1252'>,infeasible,306.17860865592957,306.14132860000245,12.453553900355473,154,306,0,0,21,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.49.json' mode='r' encoding='cp1252'>,59,307.27881598472595,307.22332440002356,5.071364700328559,100,198,0,0,20,0,False,True,True
