instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k7.0.json' mode='r' encoding='cp1252'>,infeasible,307.7212882041931,307.6080213999958,2.927449699724093,53,104,0,0,52,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.1.json' mode='r' encoding='cp1252'>,infeasible,308.57832527160645,308.49175240000477,2.497186899650842,53,104,0,0,52,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.2.json' mode='r' encoding='cp1252'>,infeasible,307.0201280117035,306.952356099966,3.1196087998105213,107,212,0,0,106,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.3.json' mode='r' encoding='cp1252'>,infeasible,308.27535605430603,308.2097675999976,1.7035222998820245,51,100,0,0,50,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.4.json' mode='r' encoding='cp1252'>,infeasible,308.64951848983765,308.5896212000516,1.8711683996370994,72,142,0,0,71,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.5.json' mode='r' encoding='cp1252'>,infeasible,309.73099088668823,309.66930520004826,3.4113205003668554,54,106,0,0,53,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.6.json' mode='r' encoding='cp1252'>,infeasible,309.63807463645935,309.56742289999966,3.147795700118877,67,132,0,0,66,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.7.json' mode='r' encoding='cp1252'>,infeasible,312.46781182289124,312.40398780000396,5.847862200171221,64,126,0,0,63,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.8.json' mode='r' encoding='cp1252'>,infeasible,309.0906865596771,309.02648280002177,1.793930500105489,69,136,0,0,68,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.9.json' mode='r' encoding='cp1252'>,infeasible,310.4918429851532,310.44361820002086,1.815209600084927,63,124,0,0,62,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.10.json' mode='r' encoding='cp1252'>,infeasible,312.4162619113922,312.3609836999676,1.746134200191591,55,108,0,0,54,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.11.json' mode='r' encoding='cp1252'>,infeasible,310.43610095977783,310.3388678000192,3.063015199790243,72,142,0,0,71,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.12.json' mode='r' encoding='cp1252'>,infeasible,310.0430545806885,309.9758778999676,1.7928361002122983,57,112,0,0,56,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.13.json' mode='r' encoding='cp1252'>,infeasible,308.45865774154663,308.39632489997894,3.088402800494805,75,148,0,0,74,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.14.json' mode='r' encoding='cp1252'>,infeasible,313.08436489105225,313.0163911000127,2.342332999687642,67,132,0,0,66,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.15.json' mode='r' encoding='cp1252'>,infeasible,308.3257300853729,308.11972419999074,3.8419683998799883,64,126,0,0,63,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.16.json' mode='r' encoding='cp1252'>,infeasible,305.2246804237366,305.16493740002625,3.0542356005171314,84,166,0,0,83,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.17.json' mode='r' encoding='cp1252'>,infeasible,314.984920501709,314.93375919997925,2.721466999966651,49,96,0,0,48,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.18.json' mode='r' encoding='cp1252'>,infeasible,312.5214800834656,312.45523109997157,2.8324651001603343,45,88,0,0,44,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.19.json' mode='r' encoding='cp1252'>,infeasible,310.4609830379486,310.3904710999923,1.8245849999366328,37,72,0,0,36,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.20.json' mode='r' encoding='cp1252'>,infeasible,307.3082206249237,307.254284500028,2.3670458996784873,90,178,0,0,89,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.21.json' mode='r' encoding='cp1252'>,infeasible,308.7555193901062,308.67954560002545,3.470035699836444,65,128,0,0,64,0
