instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k9.0.json' mode='r' encoding='cp1252'>,infeasible,302.76408529281616,302.7029104999965,81.83105579938274,818,1634,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.1.json' mode='r' encoding='cp1252'>,infeasible,302.36669635772705,302.31467890000204,101.1024282980361,886,1770,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.2.json' mode='r' encoding='cp1252'>,infeasible,301.9428668022156,301.85258249996696,105.75117579998914,1153,2304,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.3.json' mode='r' encoding='cp1252'>,infeasible,301.4718072414398,301.40661979996366,135.91899829974864,966,1930,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.4.json' mode='r' encoding='cp1252'>,infeasible,301.82256746292114,301.73684209998464,54.360447299375664,721,1440,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.5.json' mode='r' encoding='cp1252'>,infeasible,302.43344831466675,302.3723068999825,87.06041810079478,1283,2564,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.6.json' mode='r' encoding='cp1252'>,infeasible,301.2664806842804,301.20452219998697,91.39483850123361,830,1658,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.7.json' mode='r' encoding='cp1252'>,infeasible,302.1300756931305,302.0642540999688,106.65034490008838,726,1450,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.8.json' mode='r' encoding='cp1252'>,infeasible,302.06232166290283,302.01972540002316,99.66767320164945,1193,2384,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.9.json' mode='r' encoding='cp1252'>,infeasible,302.0451316833496,301.991433600022,118.60925409890478,876,1750,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.10.json' mode='r' encoding='cp1252'>,infeasible,301.6815240383148,301.6257618999807,116.67063599999528,806,1610,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.11.json' mode='r' encoding='cp1252'>,infeasible,302.29073429107666,302.23072549997596,73.78337399981683,660,1318,0,0,0,0
