instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k8.0.json' mode='r' encoding='cp1252'>,infeasible,311.9913372993469,311.9131759000011,3.7551403004326858,77,152,0,0,21,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.1.json' mode='r' encoding='cp1252'>,infeasible,307.5020983219147,307.4520341999596,2.4257837997283787,83,164,0,0,36,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.2.json' mode='r' encoding='cp1252'>,infeasible,308.97611570358276,308.9255887999898,3.687498399754986,91,180,0,0,37,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.3.json' mode='r' encoding='cp1252'>,infeasible,307.83413100242615,307.7799536999664,3.238428800017573,82,162,0,0,33,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.4.json' mode='r' encoding='cp1252'>,infeasible,311.1366138458252,311.03131739998935,9.918853600742295,85,168,0,0,16,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.5.json' mode='r' encoding='cp1252'>,infeasible,305.0840814113617,305.00787420000415,5.289606599893887,98,194,0,0,39,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.6.json' mode='r' encoding='cp1252'>,infeasible,307.9944956302643,307.93147890002,3.6929569001076743,76,150,0,0,16,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.7.json' mode='r' encoding='cp1252'>,infeasible,308.61298274993896,308.486576299998,6.1618224999983795,76,150,0,0,38,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.8.json' mode='r' encoding='cp1252'>,infeasible,309.5761299133301,309.4354310000199,2.3834971001488157,64,126,0,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.9.json' mode='r' encoding='cp1252'>,infeasible,310.14790296554565,310.0840314999805,8.999281499942299,94,186,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.10.json' mode='r' encoding='cp1252'>,infeasible,308.5472824573517,308.45289379998576,6.100449200079311,82,162,0,0,35,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.11.json' mode='r' encoding='cp1252'>,infeasible,308.634477853775,308.57192940003006,4.620382699824404,139,276,0,0,46,0
