instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='generated_instances/instance-k8.34.json' mode='r' encoding='cp1252'>,infeasible,601.5800569057465,601.5662572998554,303.16196820535697,3137,6272,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.35.json' mode='r' encoding='cp1252'>,infeasible,602.1967656612396,602.1837034998462,302.8141053984873,2295,4588,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.36.json' mode='r' encoding='cp1252'>,infeasible,601.7643365859985,601.7493471000344,231.26370880985633,2262,4522,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.37.json' mode='r' encoding='cp1252'>,infeasible,602.7056045532227,602.6909733999055,220.3563517939765,1831,3660,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.38.json' mode='r' encoding='cp1252'>,infeasible,602.853946685791,602.840441999957,203.86967900535092,1929,3856,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.39.json' mode='r' encoding='cp1252'>,72,601.6327712535858,601.6196474998724,270.71126488922164,3116,6230,0,0,0,147,False,False,True
<_io.TextIOWrapper name='generated_instances/instance-k8.40.json' mode='r' encoding='cp1252'>,infeasible,603.4520983695984,603.4329687999561,186.96378010045737,1587,3172,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.41.json' mode='r' encoding='cp1252'>,infeasible,602.2164027690887,602.2035430998076,218.76528209727257,2446,4890,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.42.json' mode='r' encoding='cp1252'>,infeasible,602.7836046218872,602.7703561000526,271.0612106898334,2592,5182,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.43.json' mode='r' encoding='cp1252'>,72,602.6237900257111,602.6082667999435,206.4674925096333,3709,7416,0,0,0,156,False,False,True
<_io.TextIOWrapper name='generated_instances/instance-k8.44.json' mode='r' encoding='cp1252'>,infeasible,603.0342795848846,603.0175162998494,196.9112199973315,3035,6068,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.45.json' mode='r' encoding='cp1252'>,infeasible,603.034325838089,603.0211165000219,210.47214889945462,2381,4760,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.46.json' mode='r' encoding='cp1252'>,infeasible,602.5037772655487,602.4889709998388,208.6140882950276,1749,3496,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.47.json' mode='r' encoding='cp1252'>,infeasible,602.4663789272308,602.4499525001738,205.52763230586424,2343,4684,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.48.json' mode='r' encoding='cp1252'>,infeasible,602.6277809143066,602.6139338000212,212.55882759252563,3460,6918,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.49.json' mode='r' encoding='cp1252'>,infeasible,602.0387890338898,602.023604300106,263.75734260259196,2273,4544,0,0,0,0,,,
